SAMPLE_ID,Telomeric_AI,LST_count,LOH_count,labels_v1
Sample_0241,27,14,9,1
Sample_0242,38,7,15,1
Sample_0243,35,28,25,1
Sample_0244,24,28,15,1
Sample_0245,36,32,21,1
Sample_0246,29,20,11,1
Sample_0247,34,12,5,1
Sample_0248,29,16,16,1
Sample_0249,30,10,12,1
Sample_0250,27,4,13,1
Sample_0251,26,24,15,1
Sample_0252,23,6,8,1
Sample_0253,30,23,19,1
Sample_0254,25,14,13,1
Sample_0255,13,1,1,1
