,SAMPLE_ID,HRDetect_output_probablity
161,Sample_0169,0.999788335394468
162,Sample_0170,0.999975442119006
163,Sample_0171,0.999983199370172
164,Sample_0172,0.335666130859427
165,Sample_0173,0.0604681686208671
166,Sample_0174,0.97252197084702
167,Sample_0175,0.787180939349277
168,Sample_0176,0.999994140123588
169,Sample_0178,0.936791108436829
170,Sample_0179,0.999667880058245
171,Sample_0180,0.276347984807281
172,Sample_0181,0.0830626304456163
173,Sample_0182,0.99999353007199
174,Sample_0183,0.999641991978405
175,Sample_0184,0.999990479084143
176,Sample_0185,0.999995959116002
177,Sample_0186,0.999977587079491
178,Sample_0187,0.997156451060881
179,Sample_0188,0.999205818565167
180,Sample_0189,0.999974072726102
181,Sample_0190,0.999990435707161
182,Sample_0191,0.999943916362467
183,Sample_0192,0.999986304510415
184,Sample_0193,0.999996189159401
