SAMPLE_ID,BRCA1/2_mut,other_HRR_gene_mutation_somatic,cnv_N_CNdipl,cnv_N_CNloss,cnv_N_CNgain,cnv_CNlt5_frac,cnv_CNgt10_frac,cnv_evenCN_frac,cnv_CNloss_frac,cnv_DUP_len_30000_inf,cnv_DUP_len_30_100,cnv_DEL_len_100000_inf,cnv_DIPLOID_len_100000_inf,sv_n_trans,sv_n_del,sv_n_inv,sv_n_tadem_dup,sv_trans_frac,sv_del_frac,sv_inv_frac,sv_tadem_dup_frac,sv_n_all_sv,sv_n_svclass_stdev,sv_dup_30000+,sv_del_100000+,sv_microhom_deletion_mean,sv_microhom_inversion_mean,sv_microhom_tandem-duplication_mean,sv_microhom_translocation_mean,indel_n_del,indel_n_ins,ins_indel_ratio,del_indel_ratio,indel_DEL_len_1,indel_DEL_len_2,indel_DEL_len_3,indel_DEL_len_4,indel_DEL_len_inf,indel_INS_len_1,indel_INS_len_2,indel_INS_len_3,indel_INS_len_4,indel_INS_len_inf,indel_DEL_mh,indel_DEL_noMHstatus,indel_DEL_rep,indel_del_mh_ratio,Telomeric_AI,Interstitial_AI,Telomeric_LOH,Interstitial_LOH,Ploidy,aberrant_cell_fraction,LST_count,LOH_count,MSI,cnv_DEL_0_3500_sum_indel_DEL_len_inf,indel_INS_len_inf_sum_cnv_DUP_0_30000,indel_INS_len_inf_sum_cnv_DUP_0_1000,frac_cnv_DUP_len_30000_inf,frac_cnv_DEL_len_100000_inf,frac_cnv_DIPLOID_len_100000_inf,frac_sv_dup_30000+,frac_sv_del_frac,frac_sv_del_100000+,FBI_relaxed,percent_all_cc2ca,percent_all_cc2ct,cc2ca_vs_cc2ct,SBS31,ccne1_amp,resistant_ccne1_over_6,cnv_DUP_len_0_30000,cnv_DEL_len_0_100000,cnv_DIPLOID_len_0_100000,sv_dup_0_30000,sv_del_0_100000,frac_cnv_DUP_len_0_30000,frac_cnv_DEL_len_0_100000,frac_cnv_DIPLOID_len_0_100000,frac_sv_dup_0_30000,frac_sv_del_0_100000
Sample_0234,1,1,118,45,395,0.698924731182796,0.00537634408602151,0.522504892367906,0.102272727272727,371,0,30,91,200,148,92,302,0.269541778975741,0.199460916442048,0.123989218328841,0.407008086253369,742,77.3482385061224,69,45,1.56081081081081,1.35869565217391,1.64900662251656,1.215,1541,187,0.1082175926,0.8917824074,282,74,20,22,1143,145,8,5,2,27,996,263,282,0.6463335496,38,430,20,184,3.3276,0.77,28,13,0.53,1143,51,27,0.939240506329114,0.666666666666667,0.771186440677966,0.228476821192053,0.00134589502018843,0.303644829216835,8,54.88,34.2,0.62,0.02,0,0,24,15,27,233,103,0.060759493670885956,0.33333333333333304,0.22881355932203395,0.771523178807947,0.696355170783165
Sample_0235,0,0,59,56,52,0.88622754491018,0.0658682634730539,0.462068965517241,0.518518518518518,44,0,38,49,22,26,33,6,0.252873563218391,0.298850574712644,0.379310344827586,0.0689655172413793,87,9.90896059130321,5,7,1.07692307692308,0.848484848484849,5.33333333333333,0.681818181818182,400,124,0.2366412214,0.7633587786,169,37,17,10,167,99,8,3,1,13,183,56,161,0.4575,23,92,18,57,1.9096,0.93,10,11,0.37,167,21,13,0.846153846153846,0.678571428571429,0.830508474576271,0.833333333333333,0.0113636363636364,0.266171328671329,16,39.78,46.43,1.17,0.02,0,0,8,18,10,1,19,0.15384615384615397,0.32142857142857095,0.16949152542372903,0.16666666666666696,0.733828671328671
Sample_0236,0,0,103,23,636,0.653543307086614,0.0026246719160105,0.548797736916549,0.0349013657056146,591,0,14,94,82,58,88,563,0.103666245259166,0.0733249051833123,0.111251580278129,0.711757269279393,791,211.175726588072,541,38,1.32758620689655,1.36363636363636,1.68738898756661,1.68292682926829,442,225,0.3373313343,0.6626686657,238,89,18,22,75,195,7,3,4,16,91,86,265,0.2058823529,28,549,17,207,3.2667,0.84,10,8,0.6,75,61,18,0.929245283018868,0.608695652173913,0.912621359223301,0.960923623445826,0.00126262626262626,0.6543451758969,8,44.1,49.05,1.11,0.13,0,0,45,9,9,22,20,0.070754716981132,0.39130434782608703,0.08737864077669899,0.03907637655417395,0.3456548241031
Sample_0237,0,0,75,39,306,0.704761904761905,0.0857142857142857,0.580838323353293,0.11304347826087,288,0,21,67,74,69,57,51,0.294820717131474,0.274900398406374,0.227091633466136,0.203187250996016,251,9.17537465175128,40,44,1.6231884057971,0.824561403508772,2.45098039215686,0.716216216216216,528,340,0.3917050691,0.6082949309,206,101,42,25,154,291,12,5,5,27,143,124,261,0.2708333333,28,299,14,93,3.01,0.89,10,6,0.81,154,45,27,0.941176470588235,0.538461538461538,0.893333333333333,0.784313725490196,0.00396825396825397,0.635150678628939,13,41.91,49.03,1.17,0.06,1,0,18,18,8,11,25,0.05882352941176505,0.461538461538462,0.10666666666666702,0.21568627450980404,0.36484932137106096
Sample_0238,0,0,78,43,148,0.814126394052045,0.0148698884758364,0.6,0.225130890052356,124,0,16,66,11,40,18,48,0.094017094017094,0.341880341880342,0.153846153846154,0.41025641025641,117,15.2212844398888,42,11,1.55,2.77777777777778,1.4375,0.727272727272727,404,265,0.3961136024,0.6038863976,168,26,21,22,167,221,13,4,9,18,181,62,161,0.448019802,28,183,23,124,2.8588,0.86,3,17,1.02,169,42,19,0.837837837837838,0.372093023255814,0.846153846153846,0.875,0.00847457627118644,0.272669491525424,7,41.91,47.57,1.14,0.05,0,0,24,27,12,6,29,0.16216216216216195,0.627906976744186,0.15384615384615397,0.125,0.727330508474576
Sample_0239,0,0,97,31,280,0.794117647058823,0.0612745098039216,0.51123595505618,0.0996784565916399,261,0,20,84,30,43,75,92,0.125,0.179166666666667,0.3125,0.383333333333333,240,24.688053791257,85,27,1.74418604651163,0.893333333333333,1.3695652173913,1.3,330,225,0.4054054054,0.5945945946,128,34,13,25,130,184,11,3,5,22,120,67,143,0.3636363636,25,267,10,78,2.717,0.93,9,9,0.57,131,41,22,0.932142857142857,0.645161290322581,0.865979381443299,0.923913043478261,0.004149377593361,0.625301553604169,23,37.48,70.57,1.88,0.1,1,0,19,11,13,7,16,0.06785714285714295,0.35483870967741904,0.134020618556701,0.07608695652173902,0.37469844639583105
Sample_0240,0,0,104,28,351,0.788819875776398,0.0041407867494824,0.521929824561403,0.0738786279683377,331,0,16,95,195,130,87,330,0.262803234501348,0.175202156334232,0.117250673854447,0.444743935309973,742,91.859947746556,114,29,1.41538461538462,1.33333333333333,1.5,1.22564102564103,1470,226,0.133254717,0.866745283,309,85,30,23,1023,197,7,3,2,17,918,231,321,0.6244897959,39,330,17,136,3.1903,0.85,31,18,1.03,1024,37,18,0.943019943019943,0.571428571428571,0.913461538461538,0.345454545454546,0.00134589502018843,0.222776684957035,5,57.86,37.61,0.65,0.1,0,0,20,12,9,216,101,0.05698005698005704,0.42857142857142905,0.08653846153846201,0.654545454545454,0.777223315042965
Sample_0241,0,0,72,34,298,0.702970297029703,0.101485148514852,0.520710059171598,0.102409638554217,267,0,17,64,118,53,65,37,0.432234432234432,0.194139194139194,0.238095238095238,0.135531135531135,273,30.3922276248386,31,36,1.18867924528302,2.70769230769231,0.783783783783784,0.542372881355932,484,238,0.3296398892,0.6703601108,230,51,23,37,143,207,10,1,6,14,157,93,234,0.3243801653,27,294,9,109,3.2653,0.89,14,9,0.6,144,45,17,0.895973154362416,0.5,0.888888888888889,0.837837837837838,0.00364963503649635,0.676766285635587,24,27.27,80.02,2.93,0.16,0,0,31,17,8,6,17,0.10402684563758402,0.5,0.11111111111111105,0.16216216216216195,0.32323371436441295
Sample_0242,1,0,12,13,375,0.3375,0.1,0.568840579710145,0.0335051546391753,336,0,2,5,5,25,38,34,0.0490196078431372,0.245098039215686,0.372549019607843,0.333333333333333,102,12.737739202857,30,17,1.08,0.921052631578947,1.55882352941176,1.8,265,217,0.4502074689,0.5497925311,118,85,20,12,30,193,11,2,2,9,47,41,177,0.1773584906,38,291,15,141,5.3259,0.63,7,15,0.15,33,48,10,0.896,0.153846153846154,0.416666666666667,0.882352941176471,0.00970873786407767,0.673398058252427,9,31.15,73.68,2.37,0.06,0,0,39,11,7,4,8,0.10399999999999998,0.846153846153846,0.583333333333333,0.117647058823529,0.32660194174757295
Sample_0243,0,0,75,28,226,0.729483282674772,0.0121580547112462,0.685810810810811,0.110236220472441,202,0,14,65,72,59,27,158,0.227848101265823,0.186708860759494,0.0854430379746835,0.5,316,48.4613247858537,16,14,1.8135593220339,2.37037037037037,1.72151898734177,1.41666666666667,850,163,0.1609081935,0.8390918065,149,85,3,19,594,133,6,2,4,18,525,121,204,0.6176470588,35,212,22,118,3.4008,0.89,28,25,1.16,594,42,18,0.893805309734513,0.5,0.866666666666667,0.10126582278481,0.00315457413249211,0.236539592578731,4,42.92,45.08,1.05,0.0,1,0,24,14,10,142,45,0.106194690265487,0.5,0.13333333333333297,0.89873417721519,0.763460407421269
Sample_0244,1,0,90,70,45,1.0,0.0,0.481865284974093,0.608695652173913,36,0,49,81,63,138,28,11,0.2625,0.575,0.116666666666667,0.0458333333333333,240,48.7801189010441,8,15,2.33333333333333,1.28571428571429,2.36363636363636,1.11111111111111,1180,316,0.2112299465,0.7887700535,296,48,28,27,781,216,22,5,3,70,746,152,282,0.6322033898,24,96,17,64,1.7543,0.9,28,15,0.48,781,79,70,0.8,0.7,0.9,0.727272727272727,0.004149377593361,0.108244632870287,1,54.08,46.71,0.86,0.02,0,0,9,21,9,3,123,0.19999999999999996,0.30000000000000004,0.09999999999999998,0.27272727272727304,0.891755367129713
