SAMPLE_ID,BRCA1/2_mut,other_HRR_gene_mutation_somatic,sv_trans_frac,sv_del_frac,sv_inv_frac,sv_tadem_dup_frac,sv_n_all_sv,sv_n_svclass_stdev,sv_microhom_deletion_mean,sv_microhom_inversion_mean,sv_microhom_tandem-duplication_mean,sv_microhom_translocation_mean,indel_n_del,indel_n_ins,ins_indel_ratio,del_indel_ratio,indel_DEL_len_1,indel_DEL_len_2,indel_DEL_len_3,indel_DEL_len_4,indel_DEL_len_inf,indel_INS_len_1,indel_INS_len_2,indel_INS_len_3,indel_INS_len_4,indel_INS_len_inf,indel_DEL_mh,indel_DEL_noMHstatus,indel_DEL_rep,indel_del_mh_ratio,Telomeric_AI,Interstitial_AI,Telomeric_LOH,Interstitial_LOH,LST_count,LOH_count,MSI,cnv_DEL_0_3500_sum_indel_DEL_len_inf,indel_INS_len_inf_sum_cnv_DUP_0_30000,indel_INS_len_inf_sum_cnv_DUP_0_1000,frac_cnv_DUP_len_30000_inf,frac_cnv_DEL_len_100000_inf,frac_cnv_DIPLOID_len_100000_inf,frac_sv_dup_30000+,frac_sv_del_frac,frac_sv_del_100000+,FBI_relaxed,percent_all_cc2ca,percent_all_cc2ct,cc2ca_vs_cc2ct,SBS31,ccne1_amp,resistant_ccne1_over_6,frac_cnv_DUP_len_0_30000,frac_cnv_DEL_len_0_100000,frac_cnv_DIPLOID_len_0_100000,frac_sv_dup_0_30000,frac_sv_del_0_100000,labels_v1
Sample_0017,0,0,0.297994269340974,0.392550143266476,0.183381088825215,0.126074498567335,349,35.9400542570542,0.802919708029197,1.171875,0.954545454545455,0.269230769230769,506,355,0.412311266,0.587688734,216,61,26,22,181,188,20,4,4,139,155,124,227,0.3063241107,35,345,20,222,9,17,1.16,183,167,139,0.909967845659164,0.535211267605634,0.841269841269841,0.681818181818182,0.0028571428571428,0.45126173096976,3,32.85,83.88,2.55,0.41,1,1,0.090032154340836,0.464788732394366,0.158730158730159,0.318181818181818,0.54873826903024,0
Sample_0018,1,1,0.464516129032258,0.219354838709678,0.206451612903226,0.109677419354839,310,40.5801675698857,0.970588235294118,1.125,1.05882352941176,0.451388888888889,517,259,0.3337628866,0.6662371134,190,86,32,48,161,138,10,3,6,102,142,113,262,0.2746615087,35,338,17,140,6,15,1.88,161,126,103,0.926605504587156,0.585365853658537,0.870967741935484,0.911764705882353,0.0032154340836012,0.454416493285417,15,30.29,72.34,2.39,0.75,1,1,0.073394495412844,0.414634146341463,0.129032258064516,0.0882352941176469,0.545583506714583,0
Sample_0019,1,0,0.329203539823009,0.136283185840708,0.164601769911504,0.369911504424779,565,57.1155626777851,1.14285714285714,1.13978494623656,0.956937799043062,0.967741935483871,719,203,0.2201735358,0.7798264642,205,43,24,16,431,137,12,3,2,49,391,125,203,0.5438108484,39,429,25,206,35,22,0.28,431,91,50,0.901639344262295,0.714285714285714,0.82,0.186602870813397,0.0017667844522968,0.505598641641044,16,53.82,40.27,0.75,0.51,1,1,0.098360655737705,0.285714285714286,0.18,0.813397129186603,0.494401358358956,1
Sample_0020,1,0,0.236842105263158,0.559808612440191,0.0909090909090909,0.11244019138756,418,78.3086840650512,1.74786324786325,1.26315789473684,1.51063829787234,1.2020202020202,1541,245,0.1371780515,0.8628219485,267,61,27,27,1159,161,14,5,7,58,1108,159,274,0.7190136275,30,174,24,127,36,28,0.27,1159,60,59,0.972602739726027,0.704918032786885,0.908256880733945,0.829787234042553,0.0023866348448687,0.10231931950309,0,49.55,49.69,1.0,0.37,0,0,0.027397260273973,0.2950819672131149,0.091743119266055,0.170212765957447,0.89768068049691,1
Sample_0022,1,1,0.364485981308411,0.378504672897196,0.158878504672897,0.0981308411214953,214,26.4244205234476,1.03703703703704,0.470588235294118,1.85714285714286,0.564102564102564,1079,299,0.2169811321,0.7830188679,187,64,37,35,756,149,18,2,4,126,702,139,238,0.6506024096,40,285,27,135,25,23,0.53,756,140,126,0.96056338028169,0.125,0.75,0.714285714285714,0.0046511627906976,0.208900373241458,2,60.68,37.77,0.62,0.33,0,0,0.03943661971831,0.875,0.25,0.285714285714286,0.791099626758542,1
Sample_0023,0,0,0.267898383371824,0.249422632794457,0.143187066974596,0.339491916859122,433,30.4168949763121,1.15740740740741,0.919354838709677,1.36054421768708,0.706896551724138,1107,271,0.1966618287,0.8033381713,240,76,23,39,729,141,19,8,5,98,604,210,293,0.5456187895,37,300,23,132,30,26,0.29,729,129,100,0.90519877675841,0.523809523809524,0.858974358974359,0.346938775510204,0.0023041474654377,0.267899812254651,15,59.28,40.03,0.68,0.57,1,1,0.09480122324159,0.476190476190476,0.1410256410256409,0.653061224489796,0.732100187745349,0
Sample_0024,1,0,0.289808917197452,0.277070063694268,0.117834394904459,0.315286624203822,314,24.3464576478797,1.74712643678161,0.756756756756757,1.03030303030303,0.538461538461538,850,198,0.1889312977,0.8110687023,162,34,29,23,602,116,10,3,7,62,526,145,179,0.6188235294,32,194,22,63,26,20,0.01,602,69,63,0.966981132075472,0.578947368421053,0.857142857142857,0.252525252525252,0.0031746031746031,0.171866447728517,7,55.43,38.27,0.69,0.33,0,0,0.033018867924528,0.421052631578947,0.142857142857143,0.7474747474747481,0.828133552271483,0
Sample_0025,0,0,0.351351351351351,0.234234234234234,0.306306306306306,0.108108108108108,111,10.2072278312968,1.69230769230769,0.852941176470588,1.58333333333333,0.153846153846154,186,167,0.4730878187,0.5269121813,70,23,11,8,74,107,10,3,2,45,51,34,101,0.2741935484,24,128,15,75,7,15,0.01,74,57,45,0.853658536585366,0.621212121212121,0.918367346938776,0.666666666666667,0.0089285714285714,0.343063186813187,15,33.5,75.09,2.24,0.78,0,0,0.146341463414634,0.378787878787879,0.081632653061224,0.333333333333333,0.656936813186813,1
Sample_0026,0,0,0.325966850828729,0.110497237569061,0.160220994475138,0.403314917127072,181,21.5682057668226,0.25,0.379310344827586,0.89041095890411,0.338983050847458,253,277,0.5226415094,0.4773584906,101,41,11,13,87,173,9,1,3,91,58,59,136,0.2292490119,21,243,11,109,5,9,0.07,88,102,91,0.95045045045045,0.458333333333333,0.820754716981132,0.821917808219178,0.0054945054945054,0.348076923076923,6,30.05,85.74,2.85,0.4,0,0,0.04954954954955,0.541666666666667,0.179245283018868,0.1780821917808219,0.651923076923077,1
Sample_0027,0,0,0.295938104448743,0.264990328820116,0.259187620889749,0.179883945841393,517,22.1401784093986,1.15328467153285,0.776119402985075,0.731182795698925,0.450980392156863,485,280,0.3660130719,0.6339869281,233,61,23,9,159,179,15,2,9,75,132,118,235,0.2721649485,35,310,18,130,15,23,0.04,162,97,77,0.928571428571429,0.72972972972973,0.946666666666667,0.838709677419355,0.0019305019305019,0.458966265535609,39,42.94,54.23,1.26,0.33,1,0,0.0714285714285709,0.2702702702702699,0.053333333333333,0.161290322580645,0.541033734464391,0
Sample_0031,0,0,0.308712121212121,0.132575757575758,0.244318181818182,0.314393939393939,528,38.6328875441637,0.728571428571429,0.472868217054264,1.07228915662651,0.43558282208589,975,571,0.3693402329,0.6306597671,523,98,51,32,271,378,35,10,13,135,255,179,541,0.2615384615,33,479,19,181,7,15,0.47,271,154,136,0.959830866807611,0.875,0.949152542372881,0.963855421686747,0.0018903591682419,0.4705374021064,43,34.7,71.41,2.06,0.32,1,0,0.040169133192389,0.125,0.0508474576271189,0.036144578313253,0.5294625978936001,1
Sample_0032,0,0,0.504065040650406,0.16260162601626,0.276422764227642,0.056910569105691,246,40.825849654355,0.95,0.882352941176471,0.928571428571429,0.266129032258065,251,243,0.491902834,0.508097166,90,36,10,12,103,117,13,2,2,109,86,55,110,0.3426294821,29,313,15,113,12,12,0.01,105,131,109,0.951002227171492,0.307692307692308,0.833333333333333,0.714285714285714,0.0040485829959514,0.522874493927125,23,36.07,82.3,2.28,0.43,0,0,0.048997772828508,0.6923076923076921,0.1666666666666669,0.285714285714286,0.4771255060728749,1
Sample_0033,0,0,0.8,0.114285714285714,0.0571428571428571,0.0285714285714286,35,11.1663557170637,0.25,0.0,0.0,0.0714285714285714,362,168,0.3169811321,0.6830188679,214,38,11,15,84,103,4,2,2,57,62,75,225,0.1712707182,11,49,3,17,0,3,0.01,84,61,57,0.92,0.416666666666667,0.972602739726027,1.0,0.0277777777777778,0.486111111111111,0,48.37,86.46,1.79,0.56,0,0,0.0799999999999999,0.583333333333333,0.027397260273973,0.0,0.5138888888888891,1
Sample_0034,1,0,0.264887063655031,0.15605749486653,0.197125256673511,0.381930184804928,487,41.6435769357052,2.11842105263158,0.833333333333333,1.16666666666667,0.503875968992248,675,165,0.1964285714,0.8035714286,164,36,18,27,430,94,10,3,6,52,375,109,191,0.5555555556,27,265,20,135,19,12,0.01,430,69,54,0.901734104046243,0.810126582278481,0.898203592814371,0.688172043010753,0.0020491803278688,0.354535159620362,2,55.63,36.89,0.66,0.9,1,0,0.098265895953757,0.189873417721519,0.1017964071856289,0.311827956989247,0.645464840379638,1
Sample_0035,1,0,0.377450980392157,0.397058823529412,0.151960784313726,0.0735294117647059,204,28.6006992921502,1.23456790123457,0.548387096774194,1.06666666666667,0.61038961038961,632,183,0.2245398773,0.7754601227,117,39,19,22,435,77,6,1,5,94,404,103,125,0.6392405063,34,260,22,103,27,22,0.0,435,117,95,0.9004329004329,0.75609756097561,0.954887218045113,0.866666666666667,0.0048780487804878,0.0859981933152665,3,44.28,38.85,0.88,0.3,0,0,0.0995670995670999,0.24390243902439,0.0451127819548869,0.1333333333333329,0.9140018066847336,1
Sample_0037,1,0,0.262390670553936,0.448979591836735,0.183673469387755,0.104956268221574,343,43.7856997203425,1.22077922077922,0.698412698412698,1.41666666666667,0.566666666666667,889,167,0.1581439394,0.8418560606,132,34,23,16,684,125,5,2,5,30,622,119,148,0.6996625422,38,154,24,83,27,17,0.0,684,34,30,0.973684210526316,0.739130434782609,0.926829268292683,0.722222222222222,0.002906976744186,0.168340380549683,11,58.76,37.77,0.64,0.72,0,0,0.0263157894736839,0.260869565217391,0.073170731707317,0.277777777777778,0.831659619450317,1
Sample_0038,1,0,0.404761904761905,0.329931972789116,0.210884353741497,0.054421768707483,294,38.9262122483038,1.43298969072165,0.661290322580645,1.125,0.680672268907563,445,248,0.3578643579,0.6421356421,102,12,8,16,307,192,5,3,0,48,280,63,102,0.6292134831,38,346,15,117,30,21,0.01,307,54,48,0.985882352941176,0.75,0.923076923076923,1.0,0.0033898305084745,0.390424602481216,10,49.26,41.8,0.85,0.21,1,1,0.014117647058824,0.25,0.0769230769230769,0.0,0.609575397518784,0
Sample_0039,1,0,0.219941348973607,0.390029325513197,0.187683284457478,0.202346041055718,341,27.8421892099023,0.924812030075188,0.875,1.0,0.586666666666667,489,276,0.3607843137,0.6392156863,226,68,34,34,127,175,15,2,8,76,131,94,264,0.2678936605,37,336,15,127,12,23,0.02,127,93,76,0.961098398169336,0.4,0.772727272727273,0.797101449275362,0.0029239766081871,0.412324671327441,15,39.63,45.0,1.14,0.8,0,0,0.038901601830664,0.6,0.2272727272727269,0.202898550724638,0.587675328672559,1
Sample_0040,0,0,0.356164383561644,0.175799086757991,0.30365296803653,0.164383561643836,438,35.9756862338997,0.558441558441558,0.804511278195489,0.694444444444444,0.461538461538462,524,373,0.4158305463,0.5841694537,219,57,18,14,216,201,28,6,12,126,154,95,275,0.2938931298,29,258,4,65,12,4,0.04,216,137,126,0.966360856269113,0.666666666666667,0.857142857142857,0.847222222222222,0.0022779043280182,0.738573499393545,35,41.89,44.27,1.06,0.96,1,1,0.0336391437308869,0.333333333333333,0.142857142857143,0.152777777777778,0.261426500606455,0
Sample_0044,1,0,0.308510638297872,0.393617021276596,0.194148936170213,0.103723404255319,376,41.4306649717332,1.2972972972973,0.643835616438356,0.717948717948718,0.53448275862069,359,230,0.3904923599,0.6095076401,153,35,22,22,127,135,6,4,1,84,102,67,190,0.2841225627,29,340,14,125,6,10,0.0,127,95,84,0.963696369636964,0.641025641025641,0.931034482758621,0.82051282051282,0.0026525198938992,0.491934905728009,8,38.07,66.36,1.74,0.14,1,0,0.0363036303630359,0.358974358974359,0.068965517241379,0.1794871794871799,0.508065094271991,1
Sample_0045,0,0,0.268115942028985,0.19927536231884,0.114130434782609,0.418478260869565,552,61.5589148702282,1.05454545454545,0.476190476190476,1.02597402597403,0.560810810810811,837,273,0.2459459459,0.7540540541,215,56,23,35,508,147,13,3,5,105,447,147,243,0.5340501792,36,274,16,127,34,15,0.49,508,112,106,0.977848101265823,0.625,0.933333333333333,0.307359307359307,0.0018083182640144,0.462797961532139,12,43.72,43.78,1.0,0.8,1,0,0.022151898734177,0.375,0.0666666666666669,0.692640692640693,0.5372020384678611,1
Sample_0047,1,0,0.329032258064516,0.356989247311828,0.16989247311828,0.144086021505376,465,43.6999713958716,1.06626506024096,0.607594936708861,1.08955223880597,0.777777777777778,1309,303,0.1879652605,0.8120347395,223,47,15,13,1011,164,23,5,10,101,912,174,223,0.6967150497,40,262,23,125,31,19,0.0,1011,125,101,0.906614785992218,0.930232558139535,0.977011494252874,0.805970149253731,0.0021459227467811,0.198368581622628,13,47.97,36.73,0.77,0.17,0,0,0.0933852140077819,0.069767441860465,0.0229885057471259,0.194029850746269,0.8016314183773721,1
Sample_0052,0,0,0.502890173410405,0.0404624277456647,0.0635838150289017,0.393063583815029,173,34.9311823447189,0.571428571428571,0.909090909090909,0.691176470588235,0.28735632183908,205,197,0.4900497512,0.5099502488,110,28,13,14,40,146,13,0,2,36,38,42,125,0.1853658537,17,247,6,109,1,0,0.0,42,69,37,0.839805825242718,0.642105263157895,0.963265306122449,0.838235294117647,0.0057471264367816,0.852216748768473,1,31.45,92.43,2.94,0.85,0,0,0.160194174757282,0.357894736842105,0.036734693877551,0.161764705882353,0.147783251231527,1
Sample_0053,0,0,0.337606837606838,0.239316239316239,0.145299145299145,0.277777777777778,234,16.3477827242718,1.30357142857143,1.20588235294118,1.15384615384615,1.12658227848101,231,188,0.4486873508,0.5513126492,78,34,9,4,106,128,12,2,1,45,65,53,113,0.2813852814,17,138,11,58,9,4,0.0,106,57,45,0.895652173913044,0.847826086956522,0.956896551724138,0.923076923076923,0.0042553191489361,0.497872340425532,9,36.96,60.63,1.64,0.26,1,1,0.104347826086956,0.152173913043478,0.0431034482758619,0.0769230769230769,0.5021276595744679,1
Sample_0057,0,1,0.369565217391304,0.352173913043478,0.0695652173913043,0.208695652173913,230,27.9329554469268,1.59259259259259,0.75,0.875,0.552941176470588,819,339,0.292746114,0.707253886,160,40,17,15,587,181,19,4,14,121,514,133,172,0.6275946276,29,106,23,57,30,16,0.37,587,126,121,0.925373134328358,0.716417910447761,0.935064935064935,0.375,0.0043290043290043,0.208967986745765,0,62.66,49.13,0.78,1.0,0,0,0.074626865671642,0.2835820895522389,0.0649350649350649,0.625,0.791032013254235,1
Sample_0062,0,0,0.200404858299595,0.265182186234818,0.101214574898785,0.433198380566802,494,59.6845876252823,1.23664122137405,1.12,1.33644859813084,0.797979797979798,1024,222,0.1781701445,0.8218298555,181,55,25,23,740,135,16,2,9,60,628,203,193,0.61328125,37,350,24,196,29,26,0.14,740,83,60,0.940104166666667,0.541666666666667,0.91304347826087,0.238317757009346,0.002020202020202,0.304726655871694,11,42.57,54.34,1.28,0.4,1,0,0.059895833333333,0.458333333333333,0.08695652173913,0.761682242990654,0.695273344128306,1
Sample_0074,0,0,0.0728831725616292,0.0911039657020364,0.129689174705252,0.706323687031083,933,246.550577975392,0.905882352941176,1.15702479338843,1.23672230652504,0.720588235294118,469,261,0.3575342466,0.6424657534,174,61,27,20,187,149,16,4,2,90,166,86,217,0.3539445629,29,416,23,214,17,24,0.3,187,91,91,0.99738219895288,0.78125,0.97887323943662,0.83763277693475,0.0010706638115631,0.411323844312886,13,37.05,63.77,1.72,0.24,1,1,0.0026178010471199,0.21875,0.02112676056338,0.1623672230652499,0.5886761556871141,0
Sample_0083,0,0,0.271604938271605,0.172839506172839,0.382716049382716,0.172839506172839,81,7.01338006955277,0.571428571428571,0.806451612903226,2.92857142857143,0.0909090909090909,224,254,0.5313807531,0.4686192469,73,29,12,18,92,177,16,4,1,56,77,24,123,0.34375,6,70,3,19,3,3,0.01,92,60,56,0.929824561403509,0.545454545454545,0.895522388059702,0.785714285714286,0.0121951219512195,0.776132404181185,0,33.52,80.12,2.39,0.84,0,0,0.070175438596491,0.454545454545455,0.104477611940298,0.2142857142857139,0.223867595818815,0
Sample_0085,1,0,0.330882352941177,0.257352941176471,0.316176470588235,0.0955882352941176,136,12.6885775404495,0.971428571428571,0.674418604651163,0.692307692307692,0.355555555555556,244,196,0.4454545455,0.5545454545,91,32,20,24,77,105,13,0,4,74,66,53,125,0.2704918033,35,177,17,77,5,18,0.09,77,86,75,0.947368421052632,0.357142857142857,0.882352941176471,0.923076923076923,0.0072992700729927,0.538894681960375,7,38.1,78.8,2.07,0.33,0,0,0.052631578947368,0.642857142857143,0.117647058823529,0.0769230769230769,0.4611053180396249,1
Sample_0086,1,0,0.250936329588015,0.187265917602996,0.228464419475655,0.333333333333333,267,14.2192651005599,0.78,0.622950819672131,1.42696629213483,0.402985074626866,597,339,0.3621794872,0.6378205128,291,59,34,26,187,239,19,6,6,69,162,123,312,0.2713567839,26,262,18,133,14,11,0.0,188,77,70,0.965665236051502,0.577464788732394,0.945454545454545,0.932584269662921,0.003731343283582,0.458283582089552,7,57.35,47.31,0.82,0.12,0,0,0.0343347639484979,0.4225352112676059,0.054545454545455,0.067415730337079,0.541716417910448,1
Sample_0087,1,0,0.295254833040422,0.372583479789104,0.140597539543058,0.191564147627416,569,51.2560971982846,0.933962264150943,0.575,0.880733944954128,0.464285714285714,1274,288,0.1843790013,0.8156209987,373,77,26,42,756,146,18,5,7,112,700,245,329,0.5494505495,32,300,23,151,33,19,0.95,756,123,112,0.957692307692308,0.672727272727273,0.880952380952381,0.495412844036697,0.0017543859649122,0.348444223766964,10,71.6,31.69,0.44,0.46,0,0,0.042307692307692,0.327272727272727,0.1190476190476189,0.5045871559633031,0.651555776233036,1
Sample_0088,0,0,0.196787148594377,0.162650602409639,0.0622489959839357,0.578313253012048,498,97.5563939472959,0.925925925925926,0.451612903225806,1.09722222222222,0.857142857142857,218,123,0.3607038123,0.6392961877,47,20,6,9,136,69,6,2,2,44,118,25,75,0.5412844037,25,229,19,86,15,19,0.5,136,51,44,0.961748633879781,0.898305084745763,0.993865030674847,0.927083333333333,0.002004008016032,0.271060639798115,7,38.46,53.33,1.39,0.41,0,0,0.0382513661202189,0.101694915254237,0.006134969325153,0.0729166666666669,0.728939360201885,1
Sample_0089,0,0,0.262755102040816,0.216836734693877,0.247448979591837,0.272959183673469,392,8.30662386291807,0.717647058823529,0.711340206185567,1.19626168224299,0.495145631067961,479,461,0.4904255319,0.5095744681,165,69,29,25,191,262,26,10,8,155,124,94,261,0.2588726514,31,373,20,142,18,11,0.29,191,191,157,0.909774436090226,0.516129032258065,0.911111111111111,0.88785046728972,0.0025445292620865,0.633677593174674,22,43.81,59.88,1.37,0.81,1,1,0.0902255639097739,0.483870967741935,0.088888888888889,0.11214953271028,0.366322406825326,0
Sample_0090,0,0,0.24380704041721,0.224250325945241,0.200782268578879,0.33116036505867,767,37.7913680620324,1.01744186046512,0.590909090909091,0.996062992125984,0.914438502673797,603,309,0.3388157895,0.6611842105,320,62,25,31,165,181,17,9,11,91,130,139,334,0.2155887231,32,472,18,222,24,16,0.15,165,113,91,0.947990543735225,0.724137931034483,0.955307262569832,0.929133858267717,0.0013020833333333,0.429672359496124,42,40.39,51.17,1.27,0.85,1,1,0.052009456264775,0.275862068965517,0.0446927374301679,0.070866141732283,0.570327640503876,0
Sample_0091,1,1,0.270676691729323,0.25187969924812,0.255639097744361,0.221804511278196,266,4.7169905660283,1.46268656716418,0.838235294117647,1.33898305084746,0.319444444444444,295,185,0.3854166667,0.6145833333,138,26,16,19,96,107,12,2,3,61,83,63,149,0.2813559322,37,323,21,157,16,17,0.05,97,73,62,0.967914438502674,0.411764705882353,0.864406779661017,0.372881355932203,0.0037453183520599,0.505562077254179,10,34.02,66.32,1.95,0.0,0,0,0.032085561497326,0.588235294117647,0.135593220338983,0.6271186440677969,0.494437922745821,1
Sample_0092,0,0,0.25,0.400943396226415,0.195754716981132,0.153301886792453,424,39.7051633921836,0.723529411764706,1.01204819277108,0.8,0.547169811320755,344,217,0.3868092692,0.6131907308,145,28,22,26,123,156,7,3,0,51,108,62,174,0.3139534884,29,191,20,89,22,25,0.0,123,56,51,0.974619289340102,0.857142857142857,0.911764705882353,0.692307692307692,0.0023529411764705,0.463612456747405,11,38.58,60.45,1.57,0.75,0,0,0.0253807106598979,0.142857142857143,0.0882352941176469,0.307692307692308,0.5363875432525951,1
