SAMPLE_ID,other_HRR_gene_mutation_somatic,cnv_DUP_len_30000_inf,cnv_DUP_len_30_100,cnv_DEL_len_100000_inf,cnv_DIPLOID_len_100000_inf,sv_n_trans,sv_n_del,sv_n_inv,sv_n_tadem_dup,sv_dup_30000+,sv_del_100000+,sv_microhom_deletion_mean,sv_microhom_inversion_mean,sv_microhom_tandem-duplication_mean,sv_microhom_translocation_mean,indel_n_del,indel_n_ins,indel_insdel_ratio,indel_DEL_len_1,indel_DEL_len_2,indel_DEL_len_3,indel_DEL_len_4,indel_DEL_len_inf,indel_INS_len_1,indel_INS_len_2,indel_INS_len_3,indel_INS_len_4,indel_INS_len_inf,indel_DEL_mh,indel_DEL_noMHstatus,indel_DEL_rep,indel_ratio,Telomeric_AI,Interstitial_AI,Telomeric_LOH,Interstitial_LOH,LST_count,LOH_count,MSI,cnv_DEL_0_3500_sum_indel_DEL_len_inf,indel_INS_len_inf_sum_cnv_DUP_0_30000,indel_INS_len_inf_sum_cnv_DUP_0_1000,FBI_relaxed,percent_all_cc2ca,percent_all_cc2ct,cc2ca_vs_cc2ct,SBS31,ccne1_amp,resistant_ccne1_over_6,BRCA1/2_mut,cnv_DUP_len_0_30000,cnv_DEL_len_0_100000,cnv_DIPLOID_len_0_100000,sv_dup_0_30000,sv_del_0_100000
Sample_0157,0,162,0,5,33,45,61,31,40,16,13,2.39344262295082,1.41935483870968,2.05,0.888888888888889,413,76,0.184019370460048,118,15,13,17,250,44,4,1,0,27,228,68,102,0.184019370460048,33,133,22,69,22,17,0.0,254,37,27,4,45.02,40.19,0.89,0.03,0,0,1,10,15,8,24,48
Sample_0158,0,41,0,47,78,78,58,10,103,16,20,1.72413793103448,1.7,1.59223300970874,1.26923076923077,556,95,0.170863309352518,110,17,13,13,403,56,8,1,1,29,332,109,96,0.170863309352518,31,86,22,59,33,19,0.01,403,30,29,0,69.97,36.0,0.51,0.03,0,0,1,1,13,4,87,38
Sample_0159,0,250,0,38,104,53,79,80,155,143,34,1.44303797468354,1.2875,1.90967741935484,1.9811320754717,415,253,0.609638554216868,230,26,13,22,124,216,15,3,2,17,123,105,178,0.609638554216868,28,301,20,134,13,10,0.25,124,28,18,20,44.56,39.2,0.88,0.08,0,0,0,11,8,11,12,45
Sample_0160,0,306,0,24,54,108,102,46,122,67,19,2.16666666666667,1.32608695652174,1.95081967213115,1.4537037037037,957,95,0.0992685475444096,209,21,19,13,695,63,7,4,5,16,604,150,170,0.0992685475444096,39,322,20,152,38,22,0.25,696,50,17,4,61.57,35.64,0.58,0.03,0,0,1,34,11,18,55,83
Sample_0161,0,287,0,14,40,36,86,36,73,55,41,1.67441860465116,3.66666666666667,1.46575342465753,0.861111111111111,215,131,0.609302325581395,97,12,6,22,78,104,8,2,3,14,70,55,81,0.609302325581395,26,252,11,115,13,14,0.11,79,31,14,3,43.68,46.55,1.07,0.09,1,0,1,17,8,11,18,45
Sample_0162,0,279,0,0,1,50,118,61,80,38,26,1.74576271186441,1.63934426229508,1.775,1.72,546,66,0.120879120879121,97,12,7,9,421,50,5,1,3,7,368,89,73,0.120879120879121,34,190,16,75,31,16,0.0,421,25,7,3,62.09,32.28,0.52,0.07,1,1,1,18,2,4,42,92
Sample_0163,0,304,0,40,112,157,195,102,198,93,56,2.0,1.99019607843137,1.55050505050505,1.15286624203822,1421,221,0.155524278676988,347,33,28,50,963,166,17,3,3,32,822,231,295,0.155524278676988,39,348,22,193,37,25,0.29,963,45,34,11,50.88,42.32,0.83,0.09,1,1,1,13,11,6,105,139
Sample_0164,0,64,0,55,98,44,71,25,88,39,14,1.57746478873239,2.16,1.93181818181818,1.04545454545454,485,89,0.183505154639175,102,15,13,20,335,58,6,3,1,21,304,76,87,0.183505154639175,32,139,25,92,27,21,0.43,335,29,21,0,58.38,35.81,0.61,0.09,0,0,1,8,24,10,49,57
Sample_0165,0,280,0,11,52,28,25,44,109,104,16,0.44,1.15909090909091,1.55045871559633,1.0,501,174,0.347305389221557,272,57,47,44,81,145,17,2,0,10,117,90,286,0.347305389221557,29,262,11,83,13,9,0.08,81,28,10,2,39.74,48.56,1.22,0.03,1,0,0,18,10,8,5,9
Sample_0166,0,16,0,37,33,7,19,38,14,13,12,1.26315789473684,1.26315789473684,1.85714285714286,0.0,79,60,0.759493670886076,41,7,3,3,25,50,2,0,1,7,23,13,39,0.759493670886076,6,57,5,50,0,1,0.08,25,8,7,3,28.36,76.32,2.69,0.04,0,0,0,1,10,10,1,7
